FDR_STD_CARDHOLDER_ALPS_STG,IFO_NXT2_STRT,VARCHAR2 (40 CHAR),Y
FDR_STD_CARDHOLDER_ALPS_STG,IFO_NXT2_STRT_ID,VARCHAR2 (8 CHAR),Y
FDR_STD_CARDHOLDER_ALPS_STG,IFO_NXT2_STRT_DT,VARCHAR2 (10 CHAR),Y
FDR_STD_CARDHOLDER_ALPS_STG,IFO_NXT2_STRT_BA_CD,CHAR (1 CHAR),Y
FDR_STD_CARDHOLDER_ALPS_STG,IFO_NXT2_STRT_HONR_ID,CHAR (1 CHAR),Y
FDR_STD_CARDHOLDER_ALPS_STG,IFO_NXT2_STRT_CIT_MTHD_ID,VARCHAR2 (8 CHAR),Y
FDR_STD_CARDHOLDER_ALPS_STG,IFO_NXT2_STRT_TMNG_CD,CHAR (1 CHAR),Y
FDR_STD_CARDHOLDER_ALPS_STG,IFO_NXT2_STRT_EVNT_DT,VARCHAR2 (10 CHAR),Y
FDR_STD_CARDHOLDER_ALPS_STG,IFO_NXT2_STRT_REVW_IN,CHAR (1 CHAR),Y
FDR_STD_CARDHOLDER_ALPS_STG,IFO_STOP_CYCL_CD_CHNG_CD,CHAR (1 CHAR),Y
FDR_STD_CARDHOLDER_ALPS_STG,IFO_LAST_DFFR_STRT_ID,VARCHAR2 (8 CHAR),Y
FDR_STD_CARDHOLDER_ALPS_STG,IFOLS_PRCN_STRT_CT,VARCHAR2 (4 CHAR),Y
FDR_STD_CARDHOLDER_ALPS_STG,IFOLS_NEXT_STRT,VARCHAR2 (29 CHAR),Y
FDR_STD_CARDHOLDER_ALPS_STG,IFOLS_NEXT_PRICING_STRATEGY,VARCHAR2 (8 CHAR),Y
FDR_STD_CARDHOLDER_ALPS_STG,IFOLS_NEXT_STRT_DT,VARCHAR2 (10 CHAR),Y
FDR_STD_CARDHOLDER_ALPS_STG,IFOLS_NEXT_STRAT_CYCL_FLG,CHAR (1 CHAR),Y
FDR_STD_CARDHOLDER_ALPS_STG,IFOLS_NEXT_STRT_HONR_ID,CHAR (1 CHAR),Y
FDR_STD_CARDHOLDER_ALPS_STG,IFOLS_NEXT_STRT_CIT_MTHD_ID,VARCHAR2 (8 CHAR),Y
FDR_STD_CARDHOLDER_ALPS_STG,IFOLS_NEXT_STRT_TMNG_CD,CHAR (1 CHAR),Y
FDR_STD_CARDHOLDER_ALPS_STG,IFOLS_NXT2_STRT,VARCHAR2 (29 CHAR),Y
FDR_STD_CARDHOLDER_ALPS_STG,IFOLS_NXT2_STRT_ID,VARCHAR2 (8 CHAR),Y
FDR_STD_CARDHOLDER_ALPS_STG,IFOLS_NXT2_STRT_DT,VARCHAR2 (10 CHAR),Y
FDR_STD_CARDHOLDER_ALPS_STG,IFOLS_NXT2_STRT_BA_CD,CHAR (1 CHAR),Y
FDR_STD_CARDHOLDER_ALPS_STG,IFOLS_NXT2_STRT_HONR_ID,CHAR (1 CHAR),Y
FDR_STD_CARDHOLDER_ALPS_STG,IFOLS_NXT2_STRT_CIT_MTHD_ID,VARCHAR2 (8 CHAR),Y
FDR_STD_CARDHOLDER_ALPS_STG,IFOLS_NXT2_STRT_TMNG_CD,CHAR (1 CHAR),Y
FDR_STD_CARDHOLDER_ALPS_STG,IFO_PP_ADD_ON_DELY_DT,VARCHAR2 (10 CHAR),Y
FDR_STD_CARDHOLDER_ALPS_STG,IFO_LAST_DSCL_DT,VARCHAR2 (10 CHAR),Y
FDR_STD_CARDHOLDER_ALPS_STG,IFO_LAST_CIT_CHNG_DT,VARCHAR2 (10 CHAR),Y
FDR_STD_CARDHOLDER_ALPS_STG,IFO_INCT_CIT_PB_CD,CHAR (1 CHAR),Y
FDR_STD_CARDHOLDER_ALPS_STG,IFO_ICIP_TERM_UNFR_DT,VARCHAR2 (10 CHAR),Y
FDR_STD_CARDHOLDER_ALPS_STG,IFO_ICML_TERM_UNFR_DT,VARCHAR2 (10 CHAR),Y
FDR_STD_CARDHOLDER_ALPS_STG,IFO_PP_ADD_ON_DELY_CD,CHAR (1 CHAR),Y
